iter	Passed	Remaining
413	4943	6997
414	4964	6997
415	4974	6984
416	4988	6974
417	5008	6973
418	5021	6963
419	5049	6972
420	5056	6954
421	5068	6942
422	5078	6926
423	5083	6905
424	5097	6896
425	5105	6879
426	5122	6873
427	5131	6857
428	5141	6842
429	5153	6831
430	5172	6828
431	5195	6830
432	5218	6833
433	5237	6829
434	5252	6822
435	5277	6827
436	5287	6812
437	5316	6821
438	5331	6813
439	5346	6804
440	5368	6804
441	5383	6795
442	5401	6791
443	5427	6797
444	5443	6789
445	5467	6791
446	5491	6793
447	5507	6785
448	5530	6786
449	5552	6786
450	5578	6790
451	5598	6788
452	5617	6783
453	5633	6775
454	5650	6768
455	5670	6765
456	5695	6767
457	5714	6762
458	5731	6755
459	5755	6755
460	5773	6750
461	5794	6747
462	5817	6747
463	5839	6745
464	5857	6739
465	5877	6734
466	5908	6743
467	5935	6746
468	5955	6742
469	5973	6736
470	5998	6736
471	6024	6739
472	6044	6734
473	6066	6731
474	6084	6724
475	6104	6720
476	6125	6715
477	6143	6709
478	6158	6698
479	6183	6698
480	6206	6697
481	6223	6688
482	6245	6685
483	6271	6686
484	6281	6670
485	6298	6661
486	6313	6650
487	6340	6652
488	6369	6655
489	6389	6650
490	6423	6658
491	6442	6651
492	6456	6640
493	6471	6629
494	6500	6631
495	6512	6617
496	6537	6616
497	6555	6607
498	6585	6611
499	6601	6601
500	6627	6601
501	6645	6592
502	6666	6586
503	6687	6581
504	6712	6579
505	6734	6574
506	6750	6563
507	6766	6553
508	6788	6548
509	6806	6539
510	6825	6531
511	6840	6519
512	6860	6512
513	6880	6505
514	6901	6499
515	6918	6489
516	6943	6487
517	6964	6480
518	6984	6473
519	7003	6464
520	7020	6454
521	7038	6445
522	7059	6438
523	7082	6433
524	7107	6430
525	7124	6419
526	7146	6414
527	7168	6408
528	7189	6400
529	7219	6401
530	7241	6395
531	7269	6395
532	7284	6382
533	7298	6368
534	7325	6366
535	7339	6353
536	7352	6339
537	7370	6329
538	7386	6317
539	7399	6302
540	7420	6295
541	7441	6287
542	7467	6284
543	7480	6270
544	7494	6257
545	7513	6247
546	7526	6233
547	7546	6224
548	7564	6214
549	7585	6206
550	7605	6197
551	7623	6186
552	7644	6179
