iter	Logloss
0	0.6880944506
1	0.6842892165
2	0.6802341895
3	0.6765431506
4	0.6728591638
5	0.669344774
6	0.6657642363
7	0.6630713703
8	0.6603040393
9	0.6572713861
10	0.6542326141
11	0.6518034289
12	0.6488877339
13	0.645986909
14	0.6436338159
15	0.6411402975
16	0.6390285315
17	0.6367540436
18	0.6341788554
19	0.6320913871
20	0.6287687488
21	0.6266827982
22	0.6250527151
23	0.6224134401
24	0.6208058509
25	0.6187350933
26	0.6166451415
27	0.6146674565
28	0.6131825142
29	0.6114610302
30	0.6098445837
31	0.6082734163
32	0.6064041779
33	0.6044179784
34	0.6032771464
35	0.6008876711
36	0.5993675393
37	0.5977374612
38	0.5964147706
39	0.5950207114
40	0.5933765347
41	0.5920255762
42	0.5905746331
43	0.5891030846
44	0.5878104884
45	0.5859602174
46	0.584337916
47	0.5824759286
48	0.5809977753
49	0.5796432462
50	0.5780941198
51	0.5762593371
52	0.5750486897
53	0.5737538846
54	0.5720646486
55	0.5702596936
56	0.5688203463
57	0.5673109267
58	0.5665699139
59	0.5653316035
60	0.5642137728
61	0.5627929992
62	0.5617070206
63	0.5603843495
64	0.5589796191
65	0.5578186787
66	0.5558564595
67	0.5545659896
68	0.5524863932
69	0.5511849931
70	0.5499444688
71	0.5491171538
72	0.548267026
73	0.5470200092
74	0.546064755
75	0.5449112416
76	0.5441669033
77	0.5432587269
78	0.5421146652
79	0.5411973855
80	0.5401421759
81	0.5391339031
82	0.5382716791
83	0.5376864693
84	0.536856911
85	0.5353912983
86	0.534415679
87	0.533159088
88	0.5319382141
89	0.5307906349
90	0.5295779259
91	0.528725487
92	0.5275742228
93	0.5267494827
94	0.5258152837
95	0.5245925632
96	0.5236678089
97	0.5226968669
98	0.5219646939
99	0.5208808451
100	0.5201309027
101	0.5191340387
102	0.5181506725
103	0.5173136867
104	0.5166213775
105	0.5155505934
106	0.5142682019
107	0.5135422151
108	0.5124926956
109	0.5117799274
110	0.5109515399
111	0.5100171148
112	0.5089945037
113	0.5080747969
114	0.5073371015
115	0.5067708668
116	0.5060066933
117	0.5049667053
118	0.5042977641
119	0.5034493488
120	0.5028779843
121	0.5019010527
122	0.5014046651
123	0.5008508351
124	0.5001357503
125	0.4992623488
126	0.4988163682
127	0.4980009023
128	0.4971875735
129	0.4965003447
130	0.4954035862
131	0.4948102492
132	0.4941891962
133	0.4936899015
134	0.4929769185
135	0.4921370498
136	0.4915073855
137	0.4908134734
138	0.4902166944
139	0.489481379
140	0.4889169678
141	0.4883774893
142	0.4877019733
143	0.4872303793
144	0.4864600557
145	0.4857523161
146	0.4851672549
147	0.4845098705
148	0.4838222469
149	0.4833943668
150	0.4828642902
151	0.4821818215
152	0.481341326
153	0.4808977165
154	0.4802202146
155	0.4795236138
156	0.4788177339
157	0.4781715853
158	0.4775084524
159	0.4766759831
160	0.4761677645
161	0.4754217798
162	0.4747200505
163	0.4743018954
164	0.4736577376
165	0.4732233134
166	0.4729902679
167	0.4721532859
168	0.4712110651
169	0.4708340281
170	0.4703127602
171	0.4698376594
172	0.469054234
173	0.4684744065
174	0.4677406517
175	0.4669201552
176	0.466315527
177	0.4657993073
178	0.4648558958
179	0.4646563371
180	0.4640222722
181	0.4633938562
182	0.462441371
183	0.4615705381
184	0.4612080398
185	0.4607859965
186	0.4602922733
187	0.4598970317
188	0.4592676775
189	0.4589573224
190	0.4585567665
191	0.4579768723
192	0.4572806675
193	0.4568102198
194	0.456230085
195	0.4559909643
196	0.4552788368
197	0.4548312097
198	0.4544806883
199	0.4537456631
200	0.4530428731
201	0.4526666892
202	0.4523483808
203	0.451530008
204	0.4509090586
205	0.4503466657
206	0.4498538624
207	0.4494942982
208	0.4491128189
209	0.4487143153
210	0.448041634
211	0.4476394181
212	0.4470245072
213	0.4465230347
214	0.4460972103
215	0.4455834407
216	0.4451904418
217	0.4447508252
218	0.4442393073
219	0.4434413598
220	0.4428239397
221	0.4423570247
222	0.4417470005
223	0.4411626673
224	0.4406817371
225	0.440261027
226	0.439721985
227	0.4389943702
228	0.4384823517
229	0.4379910122
230	0.43751438
231	0.4370668334
232	0.4365867537
233	0.4362516595
234	0.4358044027
235	0.4354144063
236	0.4348446194
237	0.4344499744
238	0.4342684465
239	0.4337648093
240	0.4333117684
241	0.4330358885
242	0.4326024685
243	0.4319128087
244	0.4315949468
245	0.4311926168
246	0.4308356728
247	0.4304009228
248	0.42993132
249	0.4293720818
250	0.4288983688
251	0.4286093075
252	0.428117303
253	0.4278028618
254	0.4273983633
255	0.4269774207
256	0.4266120433
257	0.4262867288
258	0.4259128179
259	0.4254961123
260	0.4249332007
261	0.4245913401
262	0.4241423302
263	0.4237179291
264	0.4234181739
265	0.4230540818
266	0.4225250287
267	0.4221858879
268	0.4216452208
269	0.4213510714
270	0.4209389176
271	0.4205434708
272	0.4197980898
273	0.4193196102
274	0.4187327891
275	0.418399652
276	0.4180460404
277	0.4177143912
278	0.4172532778
279	0.4168637794
280	0.4162782538
281	0.4159075668
282	0.4157025788
283	0.4154417309
284	0.4149017069
285	0.4144030812
286	0.4137301033
287	0.4134118976
288	0.4128888835
289	0.4125054299
290	0.4122338376
291	0.4119772228
292	0.4117319631
293	0.4113995761
294	0.4109541879
295	0.4107031489
296	0.4103552247
297	0.4100352703
298	0.4095530282
299	0.4091008779
300	0.4087640375
301	0.4084170214
302	0.4080684646
303	0.4077651059
304	0.4073534603
305	0.4068940949
306	0.4065656634
307	0.4059587004
308	0.4055664527
309	0.4051469619
310	0.4046942532
311	0.4043296478
312	0.4039374879
313	0.4034637382
314	0.4030929297
315	0.4028342146
316	0.4023856534
317	0.4021701822
318	0.4018287119
319	0.4014479539
320	0.4009359245
321	0.400704455
322	0.4002246018
323	0.3997185398
324	0.3992732102
325	0.3988850885
326	0.3985986143
327	0.398275205
328	0.3978076925
329	0.3973823491
330	0.3970790662
331	0.3968449543
332	0.3963455356
333	0.3959412891
334	0.3956524008
335	0.3953555318
336	0.3946515616
337	0.3943632195
338	0.3940638255
339	0.3937087888
340	0.3934426297
341	0.3929258376
342	0.3924682695
343	0.3920578354
344	0.391818304
345	0.3913868963
346	0.3908909458
347	0.3907161779
348	0.3902548312
349	0.3898119436
350	0.3894992206
351	0.389248183
352	0.388886873
353	0.3886326701
354	0.3883933739
355	0.3881380121
356	0.3878602737
357	0.3874786039
358	0.3868841229
359	0.3866269135
360	0.3864003103
361	0.3859620351
362	0.3856398855
363	0.3854421719
364	0.3851069253
365	0.3846198255
366	0.3841191256
367	0.3835586937
368	0.3833459443
369	0.3829915743
370	0.3827401539
371	0.3823703417
372	0.3819360697
373	0.3814153877
374	0.3810076317
375	0.3805984996
376	0.3801544917
377	0.3798284113
378	0.3793822648
379	0.3788030207
380	0.3783787383
381	0.378106785
382	0.3777801448
383	0.3775214626
384	0.3773338392
385	0.3769494387
386	0.376675676
387	0.3764230318
388	0.3760474328
389	0.375416191
390	0.3752716591
391	0.3750071804
392	0.3746409945
393	0.3742789833
394	0.3739532787
395	0.3738265217
396	0.373523994
397	0.3733076998
398	0.3729432406
399	0.3725455083
400	0.3720273648
401	0.3715070347
402	0.371241281
403	0.3709788943
404	0.3706566189
405	0.3703617418
406	0.3701278177
407	0.3698399757
408	0.3694659003
409	0.3690809457
410	0.3686800682
411	0.3682773907
412	0.3680339471
413	0.3677007799
414	0.3671834286
415	0.3667160625
416	0.3660800534
417	0.3658132738
418	0.3653445188
419	0.3650476603
420	0.3648562254
421	0.3643201049
422	0.3641168258
423	0.3637750276
424	0.3633896427
425	0.3628633049
426	0.3626339244
427	0.3622452662
428	0.3618424807
429	0.3614594243
430	0.361202773
431	0.3608754044
432	0.3605727363
433	0.3602463931
434	0.3599644904
435	0.3596321298
436	0.3593338075
437	0.3589891762
438	0.358752714
439	0.3583942908
440	0.3580983662
441	0.3578185411
442	0.3574957002
443	0.3571600257
444	0.3569160824
445	0.3565147874
446	0.356177821
447	0.3557625593
448	0.3554805772
449	0.355112947
450	0.3548588872
451	0.3546393445
452	0.354280742
453	0.3538922319
454	0.3536161908
455	0.3533602299
456	0.3530642308
457	0.352637669
458	0.3522645502
459	0.3519851319
460	0.3515578668
461	0.3512287587
462	0.3509995123
463	0.3505475656
464	0.3502044938
465	0.3499512599
466	0.3495924626
467	0.3491459087
468	0.3488262641
469	0.3486629347
470	0.348405399
471	0.3482367303
472	0.3479309415
473	0.3476869601
474	0.3472110418
475	0.3468480975
476	0.3464369782
477	0.3462785695
478	0.3459199448
479	0.3457387667
480	0.345351283
481	0.3450156106
482	0.344630368
483	0.3444102164
484	0.3441930751
485	0.3439328352
486	0.3435170104
487	0.34317674
488	0.3429578979
489	0.3427302284
490	0.3425123531
491	0.3422504328
492	0.3420229594
493	0.3417044891
494	0.3412708336
495	0.3409612846
