地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/01/11,19:21:20.4,石川県能登地方,37°24.5′N,136°52.2′E,10 km,2.3,震度２
2024/01/11,19:15:57.9,石川県能登地方,37°24.9′N,136°53.1′E,9 km,2.0,震度１
2024/01/11,19:14:00.3,石川県能登地方,37°23.8′N,136°52.7′E,10 km,3.3,震度３
2024/01/11,17:59:04.7,石川県能登地方,37°21.8′N,137°02.1′E,14 km,3.9,震度３
2024/01/11,17:31:47.7,宗谷地方北部,45°02.2′N,141°56.5′E,12 km,2.4,震度２
2024/01/11,17:03:12.9,能登半島沖,37°07.7′N,136°42.4′E,4 km,1.7,震度１
2024/01/11,16:33:20.2,石川県能登地方,37°23.4′N,136°51.8′E,12 km,3.6,震度２
2024/01/11,14:47:09.9,石川県能登地方,37°12.0′N,136°50.2′E,11 km,2.3,震度１
2024/01/11,14:39:04.4,石川県能登地方,37°20.7′N,136°55.0′E,12 km,2.6,震度１
2024/01/11,13:30:49.5,石川県能登地方,37°21.1′N,136°49.2′E,8 km,3.6,震度２
2024/01/11,12:21:56.4,石川県能登地方,37°10.7′N,136°46.2′E,8 km,3.0,震度１
2024/01/11,10:56:04.1,石川県能登地方,37°09.9′N,136°45.0′E,3 km,2.9,震度２
2024/01/11,07:57:49.0,石川県能登地方,37°29.6′N,137°11.6′E,10 km,3.3,震度１
2024/01/11,06:54:58.9,能登半島沖,37°34.4′N,137°24.3′E,12 km,3.3,震度１
2024/01/11,06:31:54.8,石川県能登地方,37°12.3′N,136°44.0′E,7 km,2.9,震度１
2024/01/11,04:32:19.7,佐渡付近,37°54.1′N,137°44.6′E,24 km,4.0,震度１
2024/01/11,03:09:18.2,石川県能登地方,37°22.2′N,136°57.5′E,12 km,3.0,震度１
2024/01/11,01:06:56.0,石川県能登地方,37°14.5′N,136°51.1′E,13 km,2.6,震度１
2024/01/11,01:00:55.6,福島県中通り,37°04.2′N,140°33.6′E,6 km,2.8,震度１
2024/01/11,00:42:19.2,石川県能登地方,37°19.0′N,136°58.8′E,13 km,3.4,震度２
2024/01/10,23:43:59.8,石川県能登地方,37°23.2′N,137°00.1′E,13 km,3.5,震度１
2024/01/10,23:21:32.7,能登半島沖,37°08.6′N,136°39.1′E,2 km,1.9,震度１
2024/01/10,22:57:54.1,石川県能登地方,37°21.2′N,136°50.7′E,8 km,2.7,震度１
2024/01/10,21:58:17.6,石川県能登地方,37°23.9′N,136°54.7′E,9 km,1.3,震度１
2024/01/10,21:44:56.5,石川県能登地方,37°22.3′N,136°56.7′E,11 km,2.3,震度１
2024/01/10,21:26:31.5,能登半島沖,37°32.4′N,137°20.8′E,10 km,3.1,震度２
2024/01/10,21:26:18.7,能登半島沖,37°08.3′N,136°39.5′E,8 km,2.3,震度１
2024/01/10,20:53:57.3,石川県能登地方,37°23.8′N,136°54.0′E,8 km,1.8,震度１
2024/01/10,20:10:21.0,能登半島沖,37°08.3′N,136°42.9′E,5 km,2.1,震度１
2024/01/10,20:04:08.7,能登半島沖,37°10.1′N,136°39.2′E,3 km,1.8,震度１
2024/01/10,20:02:39.1,佐渡付近,37°45.8′N,137°38.0′E,23 km,3.8,震度１
2024/01/10,20:00:33.3,石川県能登地方,37°22.2′N,136°57.7′E,12 km,4.1,震度３
2024/01/10,19:02:27.9,石川県能登地方,37°10.8′N,136°41.2′E,3 km,1.8,震度１
2024/01/10,17:57:50.2,秋田県内陸北部,40°05.9′N,140°38.0′E,6 km,3.2,震度２
2024/01/10,16:55:16.4,石川県能登地方,37°10.1′N,136°44.9′E,5 km,2.8,震度１
2024/01/10,15:35:17.3,石川県能登地方,37°10.5′N,136°50.3′E,9 km,2.6,震度１
2024/01/10,14:43:33.9,秋田県内陸北部,40°05.9′N,140°37.7′E,6 km,4.3,震度３
2024/01/10,14:32:14.6,石川県能登地方,37°25.7′N,137°02.1′E,10 km,2.8,震度１
2024/01/10,13:47:16.6,長野県中部,36°11.8′N,138°00.2′E,5 km,2.7,震度１
2024/01/10,13:08:06.3,石川県能登地方,37°19.2′N,136°58.9′E,13 km,3.4,震度１
2024/01/10,12:45:11.8,石川県能登地方,37°20.7′N,136°57.3′E,12 km,2.8,震度１
2024/01/10,12:13:15.7,岩手県沖,40°25.5′N,142°07.9′E,36 km,3.8,震度１
2024/01/10,10:32:47.1,石川県能登地方,37°23.7′N,136°53.8′E,11 km,1.9,震度１
2024/01/10,09:59:50.9,石川県能登地方,37°23.1′N,136°51.3′E,9 km,2.5,震度１
2024/01/10,09:51:53.9,石川県能登地方,37°23.7′N,136°52.0′E,10 km,2.1,震度１
2024/01/10,09:16:30.8,佐渡付近,37°52.8′N,137°47.0′E,24 km,3.8,震度１
2024/01/10,09:08:14.4,石川県能登地方,37°09.9′N,136°43.3′E,0 km,1.6,震度１
2024/01/10,08:58:41.0,石川県西方沖,37°04.7′N,136°35.5′E,8 km,3.4,震度１
2024/01/10,08:54:06.7,佐渡付近,37°54.6′N,137°44.7′E,27 km,4.0,震度１
2024/01/10,07:37:12.6,能登半島沖,37°24.6′N,136°51.6′E,10 km,2.0,震度１
2024/01/10,06:46:11.4,石川県能登地方,37°24.8′N,136°53.1′E,10 km,2.0,震度１
2024/01/10,06:43:55.6,秋田県内陸北部,40°05.9′N,140°38.2′E,5 km,2.9,震度１
2024/01/10,06:35:04.4,秋田県内陸北部,40°06.0′N,140°38.3′E,6 km,2.9,震度１
2024/01/10,06:00:40.9,秋田県内陸北部,40°06.1′N,140°38.2′E,6 km,3.5,震度２
2024/01/10,04:32:16.1,能登半島沖,37°12.4′N,136°41.5′E,5 km,3.0,震度１
2024/01/10,04:02:22.3,石川県能登地方,37°09.8′N,136°42.2′E,2 km,2.6,震度３
2024/01/10,02:51:10.4,能登半島沖,37°09.7′N,136°38.3′E,1 km,2.1,震度１
2024/01/10,02:41:07.5,佐渡付近,37°55.9′N,137°46.6′E,25 km,3.6,震度１
2024/01/10,02:29:15.4,石川県能登地方,37°10.4′N,136°45.3′E,6 km,2.3,震度１
2024/01/10,01:59:05.7,能登半島沖,37°09.0′N,136°39.7′E,2 km,2.2,震度２
2024/01/10,01:04:14.6,石川県能登地方,37°10.1′N,136°44.9′E,6 km,3.4,震度２
2024/01/10,00:17:20.2,能登半島沖,37°06.5′N,136°36.6′E,7 km,2.4,震度１
2024/01/09,23:21:13.0,石川県能登地方,37°21.3′N,136°53.1′E,10 km,2.7,震度１
2024/01/09,23:14:43.3,石川県能登地方,37°18.3′N,136°49.8′E,11 km,3.1,震度１
2024/01/09,22:50:29.7,石川県能登地方,37°22.3′N,136°53.0′E,7 km,1.5,震度１
2024/01/09,21:34:27.8,石川県能登地方,37°25.7′N,137°11.0′E,14 km,2.9,震度１
2024/01/09,20:25:07.6,石川県能登地方,37°24.1′N,136°53.8′E,9 km,1.7,震度１
2024/01/09,20:16:29.4,能登半島沖,37°12.1′N,136°38.6′E,7 km,2.7,震度１
2024/01/09,20:10:48.3,佐渡付近,37°51.8′N,137°46.4′E,24 km,4.3,震度２
2024/01/09,19:10:49.3,佐渡付近,37°55.0′N,137°47.5′E,21 km,4.0,震度１
2024/01/09,19:10:45.8,石川県能登地方,37°09.0′N,136°43.0′E,7 km,2.5,震度１
2024/01/09,18:55:10.4,佐渡付近,37°52.2′N,137°46.5′E,23 km,4.3,震度２
2024/01/09,18:45:40.3,石川県能登地方,37°12.1′N,136°47.2′E,8 km,3.2,震度１
2024/01/09,18:09:08.7,佐渡付近,37°52.8′N,137°45.0′E,22 km,4.0,震度１
2024/01/09,17:59:11.4,佐渡付近,37°54.6′N,137°45.8′E,27 km,6.1,震度５弱
2024/01/09,16:18:18.6,能登半島沖,37°11.4′N,136°37.6′E,4 km,2.5,震度１
2024/01/09,15:03:50.6,石川県能登地方,37°09.5′N,136°43.4′E,6 km,2.3,震度１
2024/01/09,14:19:11.1,新潟県上中越沖,37°37.5′N,137°35.2′E,15 km,3.8,震度１
2024/01/09,13:16:32.5,石川県能登地方,37°21.5′N,136°53.0′E,13 km,3.1,震度１
2024/01/09,13:12:54.9,石川県能登地方,37°10.0′N,136°41.6′E,3 km,3.8,震度３
2024/01/09,10:37:27.5,石川県能登地方,37°19.3′N,136°48.7′E,10 km,2.9,震度１
2024/01/09,09:18:28.3,岐阜県飛騨地方,35°55.8′N,137°14.8′E,12 km,2.8,震度１
2024/01/09,09:04:04.2,能登半島沖,37°10.2′N,136°40.2′E,2 km,1.2,震度１
2024/01/09,08:30:23.1,石川県能登地方,37°23.1′N,137°00.2′E,11 km,2.6,震度１
2024/01/09,07:59:39.9,石川県能登地方,37°23.4′N,136°51.3′E,9 km,2.2,震度１
2024/01/09,07:09:21.6,能登半島沖,37°10.0′N,136°39.6′E,3 km,2.8,震度３
2024/01/09,07:01:24.1,石川県能登地方,37°22.7′N,136°56.7′E,11 km,2.4,震度１
2024/01/09,06:55:59.1,能登半島沖,37°06.7′N,136°36.7′E,8 km,2.7,震度２
2024/01/09,06:22:33.5,能登半島沖,37°08.7′N,136°43.7′E,7 km,1.8,震度１
2024/01/09,06:17:49.7,石川県能登地方,37°22.1′N,136°53.4′E,11 km,2.9,震度１
2024/01/09,05:45:49.0,石川県能登地方,37°13.4′N,136°44.6′E,10 km,3.1,震度１
2024/01/09,04:51:01.1,内浦湾,42°19.9′N,140°24.0′E,16 km,2.9,震度１
2024/01/09,03:21:39.8,三重県北部,34°52.4′N,136°27.5′E,14 km,2.6,震度１
2024/01/09,02:38:00.3,石川県能登地方,37°23.8′N,137°04.1′E,12 km,3.1,震度１
2024/01/09,01:48:39.8,能登半島沖,37°08.3′N,136°42.0′E,7 km,2.8,震度１
2024/01/09,01:20:01.1,石川県能登地方,37°15.8′N,136°48.6′E,11 km,3.9,震度２
2024/01/09,00:54:03.7,石川県能登地方,37°21.4′N,137°01.6′E,12 km,2.6,震度１
2024/01/08,22:23:56.4,能登半島沖,37°08.5′N,136°42.5′E,2 km,1.4,震度１
2024/01/08,22:10:34.1,石川県能登地方,37°20.2′N,136°48.1′E,8 km,2.9,震度１
2024/01/08,21:48:05.4,能登半島沖,37°08.1′N,136°38.1′E,8 km,3.1,震度３
2024/01/08,21:18:06.9,石川県能登地方,37°10.4′N,136°42.0′E,3 km,2.5,震度２
2024/01/08,20:48:03.0,石川県能登地方,37°11.1′N,136°41.9′E,5 km,2.2,震度１
2024/01/08,20:43:40.3,能登半島沖,37°08.9′N,136°42.6′E,4 km,2.2,震度１
2024/01/08,20:39:27.2,石川県能登地方,37°22.1′N,136°50.1′E,9 km,2.8,震度２
2024/01/08,20:38:11.7,石川県能登地方,37°10.4′N,136°42.5′E,2 km,1.6,震度１
2024/01/08,19:52:41.3,石川県能登地方,37°10.4′N,136°42.4′E,2 km,2.1,震度１
2024/01/08,19:18:44.7,石川県能登地方,37°23.0′N,136°59.3′E,12 km,2.7,震度２
2024/01/08,19:14:28.3,能登半島沖,37°09.4′N,136°40.9′E,2 km,1.4,震度１
2024/01/08,18:35:28.1,佐渡付近,37°43.9′N,137°36.9′E,18 km,3.8,震度１
2024/01/08,18:27:55.9,石川県能登地方,37°23.1′N,136°53.2′E,8 km,2.5,震度１
2024/01/08,15:23:45.3,能登半島沖,37°11.9′N,136°40.9′E,4 km,2.0,震度１
2024/01/08,15:06:40.4,新潟県上中越沖,37°02.8′N,137°45.3′E,0 km,2.6,震度１
2024/01/08,13:14:58.8,石川県能登地方,37°10.9′N,136°48.6′E,9 km,2.9,震度１
2024/01/08,13:11:14.7,秋田県内陸北部,40°28.6′N,140°52.9′E,5 km,3.7,震度２
2024/01/08,12:51:40.8,能登半島沖,37°25.3′N,136°52.0′E,12 km,1.8,震度１
2024/01/08,11:33:21.3,能登半島沖,37°27.3′N,136°57.0′E,4 km,2.2,震度１
2024/01/08,11:27:31.7,能登半島沖,37°25.9′N,136°51.5′E,13 km,1.9,震度１
2024/01/08,11:05:04.2,石川県能登地方,37°07.8′N,136°45.1′E,4 km,3.7,震度２
2024/01/08,10:06:41.1,石川県能登地方,37°09.7′N,136°43.6′E,4 km,2.1,震度１
2024/01/08,09:49:18.5,石川県能登地方,37°20.9′N,136°48.4′E,11 km,3.4,震度２
2024/01/08,07:33:23.7,石川県能登地方,37°22.5′N,137°05.3′E,13 km,3.1,震度１
2024/01/08,06:19:18.1,石川県能登地方,37°11.4′N,136°42.3′E,5 km,2.1,震度１
2024/01/08,06:18:28.6,新潟県上中越沖,37°37.7′N,137°31.7′E,19 km,3.8,震度１
2024/01/08,05:07:37.8,能登半島沖,37°10.0′N,136°38.4′E,6 km,2.7,震度２
2024/01/08,04:26:46.6,石川県能登地方,37°22.4′N,136°55.5′E,11 km,2.5,震度１
2024/01/08,03:57:38.9,新潟県上中越沖,37°02.8′N,137°45.7′E,0 km,2.4,震度１
2024/01/08,03:15:41.0,石川県能登地方,37°15.3′N,136°46.1′E,9 km,3.8,震度２
2024/01/08,02:59:20.3,石川県能登地方,37°22.8′N,137°06.0′E,13 km,3.8,震度２
2024/01/08,02:41:16.9,岩手県沖,39°37.0′N,141°59.7′E,54 km,3.2,震度１
2024/01/08,02:24:00.1,能登半島沖,37°08.9′N,136°43.6′E,5 km,2.8,震度２
2024/01/08,02:14:59.4,富山湾,37°17.3′N,137°08.0′E,13 km,3.5,震度２
2024/01/08,01:08:59.7,能登半島沖,37°09.3′N,136°39.3′E,3 km,2.5,震度２
2024/01/07,23:43:58.2,石川県能登地方,37°22.1′N,136°51.1′E,12 km,3.9,震度３
2024/01/07,23:01:35.7,能登半島沖,37°10.4′N,136°38.8′E,4 km,2.3,震度２
2024/01/07,22:46:09.4,能登半島沖,37°09.2′N,136°39.9′E,3 km,1.4,震度１
2024/01/07,22:31:28.1,能登半島沖,37°08.2′N,136°41.0′E,8 km,2.5,震度１
2024/01/07,22:13:28.8,石川県能登地方,37°09.6′N,136°43.1′E,5 km,1.6,震度１
2024/01/07,22:05:24.9,石川県能登地方,37°21.4′N,137°02.5′E,15 km,3.5,震度２
2024/01/07,21:41:05.0,能登半島沖,37°08.6′N,136°40.1′E,11 km,3.0,震度１
2024/01/07,21:39:31.0,石川県能登地方,37°22.0′N,136°56.9′E,11 km,3.6,震度２
2024/01/07,21:38:19.4,石川県能登地方,37°10.7′N,136°48.8′E,12 km,4.7,震度４
2024/01/07,21:32:12.4,石川県能登地方,37°22.7′N,136°55.0′E,12 km,3.1,震度２
2024/01/07,18:38:20.0,石川県能登地方,37°11.5′N,136°43.0′E,4 km,3.0,震度２
2024/01/07,16:06:50.5,石川県能登地方,37°11.2′N,136°41.5′E,4 km,2.3,震度１
2024/01/07,15:26:56.7,石川県能登地方,37°12.7′N,136°43.1′E,11 km,4.5,震度４
2024/01/07,15:21:02.4,石川県能登地方,37°12.9′N,136°43.5′E,2 km,3.4,震度１
2024/01/07,14:48:44.4,石川県能登地方,37°20.5′N,136°47.6′E,12 km,3.2,震度１
2024/01/07,14:37:59.2,石川県能登地方,37°27.2′N,137°16.8′E,14 km,4.6,震度４
2024/01/07,13:39:09.0,石川県能登地方,37°21.8′N,136°59.4′E,11 km,3.2,震度２
2024/01/07,11:19:19.1,能登半島沖,37°07.3′N,136°38.9′E,9 km,3.5,震度１
2024/01/07,10:09:35.4,石川県能登地方,37°23.9′N,136°59.0′E,9 km,2.7,震度１
2024/01/07,09:02:27.9,石川県能登地方,37°23.3′N,136°52.2′E,11 km,2.1,震度１
2024/01/07,08:44:08.7,石川県能登地方,37°23.9′N,137°02.2′E,11 km,3.2,震度１
2024/01/07,07:39:46.3,能登半島沖,37°10.1′N,136°40.7′E,4 km,2.3,震度１
2024/01/07,07:38:28.3,能登半島沖,37°09.8′N,136°40.7′E,5 km,3.4,震度３
2024/01/07,06:57:25.0,石川県能登地方,37°15.6′N,136°49.1′E,16 km,3.2,震度２
2024/01/07,06:05:34.2,能登半島沖,37°13.7′N,136°41.6′E,5 km,3.0,震度１
2024/01/07,06:04:40.3,石川県能登地方,37°11.1′N,136°46.1′E,8 km,2.9,震度１
2024/01/07,05:54:33.3,能登半島沖,37°14.8′N,136°40.1′E,7 km,3.0,震度１
2024/01/07,05:26:54.8,石川県能登地方,37°24.2′N,137°00.9′E,13 km,3.5,震度２
2024/01/07,05:19:00.9,石川県能登地方,37°28.6′N,137°15.5′E,12 km,3.7,震度２
2024/01/07,03:00:51.9,石川県能登地方,37°07.8′N,136°44.3′E,0 km,1.7,震度１
2024/01/07,02:46:34.3,福島県沖,37°07.7′N,141°18.3′E,54 km,3.5,震度１
2024/01/07,02:05:21.3,能登半島沖,37°05.9′N,136°36.9′E,8 km,2.6,震度２
2024/01/07,02:03:20.4,石川県能登地方,37°23.4′N,136°54.2′E,11 km,2.6,震度１
2024/01/07,01:34:46.5,能登半島沖,37°11.1′N,136°40.9′E,4 km,1.9,震度１
2024/01/07,01:12:33.1,石川県能登地方,37°22.1′N,136°56.8′E,13 km,3.2,震度２
2024/01/07,01:08:50.7,能登半島沖,37°09.7′N,136°39.5′E,3 km,1.8,震度１
2024/01/07,00:57:06.5,能登半島沖,37°09.8′N,136°39.1′E,5 km,3.3,震度３
2024/01/07,00:09:23.8,宮城県北部,38°46.0′N,141°08.1′E,90 km,2.9,震度１
2024/01/06,23:44:34.7,新潟県上中越沖,37°01.7′N,137°45.6′E,0 km,2.5,震度１
2024/01/06,23:43:17.9,新潟県上中越沖,37°02.9′N,137°45.3′E,0 km,3.2,震度２
2024/01/06,23:30:10.3,新潟県上中越沖,37°02.2′N,137°45.1′E,0 km,2.2,震度１
2024/01/06,23:23:33.9,能登半島沖,37°09.7′N,136°38.9′E,6 km,2.5,震度２
2024/01/06,23:22:22.7,能登半島沖,37°09.9′N,136°40.1′E,5 km,2.1,震度１
2024/01/06,23:20:23.0,能登半島沖,37°10.3′N,136°38.7′E,5 km,4.3,震度６弱
2024/01/06,22:58:33.7,石川県能登地方,37°22.7′N,136°59.0′E,11 km,2.8,震度１
2024/01/06,22:55:25.9,石川県能登地方,37°23.5′N,136°53.2′E,12 km,2.5,震度１
2024/01/06,21:52:09.4,石川県能登地方,37°28.7′N,137°21.1′E,13 km,3.6,震度２
2024/01/06,21:14:39.6,石川県能登地方,37°10.6′N,136°41.2′E,4 km,2.0,震度１
2024/01/06,20:56:33.4,石川県能登地方,37°22.5′N,136°56.7′E,14 km,2.7,震度１
2024/01/06,20:24:57.1,石川県能登地方,37°23.3′N,136°52.3′E,11 km,2.1,震度１
2024/01/06,19:59:17.1,石川県能登地方,37°23.5′N,136°49.2′E,14 km,2.0,震度１
2024/01/06,19:18:56.0,石川県能登地方,37°09.7′N,136°41.4′E,2 km,0.9,震度１
2024/01/06,18:23:24.8,石川県能登地方,37°22.5′N,136°55.7′E,14 km,4.0,震度２
2024/01/06,18:15:18.4,能登半島沖,37°08.1′N,136°41.9′E,6 km,2.7,震度１
2024/01/06,18:03:50.8,能登半島沖,37°09.6′N,136°40.6′E,2 km,2.4,震度２
2024/01/06,18:02:40.5,石川県能登地方,37°29.4′N,137°18.0′E,11 km,2.8,震度１
2024/01/06,17:32:34.2,石川県能登地方,37°11.0′N,136°41.8′E,3 km,2.3,震度１
2024/01/06,16:43:13.3,能登半島沖,37°36.1′N,137°26.1′E,13 km,3.8,震度１
2024/01/06,15:47:39.4,能登半島沖,37°06.8′N,136°35.5′E,8 km,2.2,震度１
2024/01/06,15:44:30.1,石川県能登地方,37°24.9′N,136°57.5′E,12 km,3.3,震度２
2024/01/06,15:09:39.0,石川県能登地方,37°27.5′N,137°08.5′E,14 km,3.6,震度３
2024/01/06,14:49:07.6,石川県能登地方,37°23.1′N,136°57.8′E,13 km,2.4,震度１
2024/01/06,14:30:14.7,能登半島沖,37°08.9′N,136°41.7′E,11 km,2.8,震度１
2024/01/06,13:52:17.1,石川県能登地方,37°10.1′N,136°43.7′E,6 km,3.6,震度３
2024/01/06,13:36:19.0,石川県能登地方,37°10.1′N,136°44.3′E,6 km,2.1,震度１
2024/01/06,13:13:43.4,石川県能登地方,37°09.9′N,136°44.8′E,6 km,3.1,震度２
2024/01/06,13:00:35.1,石川県能登地方,37°10.6′N,136°45.4′E,6 km,不明,震度１
2024/01/06,12:59:31.9,石川県能登地方,37°10.5′N,136°43.4′E,7 km,2.7,震度１
2024/01/06,12:49:41.8,石川県能登地方,37°12.4′N,136°42.4′E,2 km,2.6,震度１
2024/01/06,12:29:39.2,石川県能登地方,37°23.1′N,136°52.4′E,8 km,1.9,震度１
2024/01/06,12:11:15.6,石川県能登地方,37°24.2′N,136°52.5′E,10 km,2.5,震度２
2024/01/06,12:09:26.2,石川県能登地方,37°10.9′N,136°42.2′E,6 km,2.8,震度１
2024/01/06,11:34:12.6,石川県能登地方,37°10.9′N,136°44.3′E,5 km,2.4,震度１
2024/01/06,10:43:03.5,石川県能登地方,37°12.0′N,136°45.3′E,6 km,3.1,震度２
2024/01/06,10:24:17.9,能登半島沖,37°09.1′N,136°33.4′E,9 km,2.8,震度１
2024/01/06,10:15:29.8,茨城県沖,36°37.8′N,141°00.7′E,45 km,4.2,震度２
2024/01/06,08:12:47.3,石川県能登地方,37°23.2′N,136°52.3′E,11 km,1.9,震度１
2024/01/06,07:39:30.3,能登半島沖,37°08.0′N,136°36.4′E,0 km,2.8,震度２
2024/01/06,07:36:33.2,石川県能登地方,37°23.1′N,136°55.2′E,12 km,1.9,震度１
2024/01/06,07:06:21.3,石川県西方沖,36°59.3′N,136°31.1′E,10 km,3.4,震度１
2024/01/06,06:57:16.3,石川県能登地方,37°20.4′N,136°57.5′E,14 km,4.4,震度３
2024/01/06,05:43:34.5,佐渡付近,37°48.3′N,137°42.3′E,18 km,4.2,震度１
2024/01/06,05:35:49.9,石川県能登地方,37°12.6′N,136°49.5′E,14 km,3.9,震度２
2024/01/06,05:32:50.0,石川県能登地方,37°11.6′N,136°50.2′E,13 km,3.5,震度２
2024/01/06,05:29:40.2,石川県能登地方,37°13.1′N,136°50.0′E,14 km,3.2,震度１
2024/01/06,05:26:51.6,石川県能登地方,37°13.0′N,136°49.9′E,12 km,5.4,震度５強
2024/01/06,04:53:43.3,能登半島沖,37°10.1′N,136°40.9′E,4 km,2.2,震度１
2024/01/06,04:46:51.2,能登半島沖,37°09.8′N,136°40.3′E,3 km,2.1,震度２
2024/01/06,03:47:22.6,石川県能登地方,37°10.0′N,136°42.4′E,2 km,2.1,震度１
2024/01/06,03:03:57.4,石川県能登地方,37°22.0′N,137°02.1′E,15 km,3.5,震度１
